azimuth,elevation,begin_epoch_millis,end_epoch_millis,begin_timestamp,end_timestamp
0,0,1586255783600,1586255785600,2020-04-07 12:36:23.600,2020-04-07 12:36:25.600
1,0,1586255786970,1586255788970,2020-04-07 12:36:26.970,2020-04-07 12:36:28.970
3,0,1586255790314,1586255792314,2020-04-07 12:36:30.314,2020-04-07 12:36:32.314
3,0,1586255793133,1586255795133,2020-04-07 12:36:33.133,2020-04-07 12:36:35.133
4,0,1586255796556,1586255798556,2020-04-07 12:36:36.556,2020-04-07 12:36:38.556
6,0,1586255799948,1586255801948,2020-04-07 12:36:39.948,2020-04-07 12:36:41.948
0,1,1586255804179,1586255806179,2020-04-07 12:36:44.179,2020-04-07 12:36:46.179
1,1,1586255807316,1586255809316,2020-04-07 12:36:47.316,2020-04-07 12:36:49.316
3,1,1586255810664,1586255812664,2020-04-07 12:36:50.664,2020-04-07 12:36:52.664
3,1,1586255813482,1586255815482,2020-04-07 12:36:53.482,2020-04-07 12:36:55.482
4,1,1586255816956,1586255818956,2020-04-07 12:36:56.956,2020-04-07 12:36:58.956
6,1,1586255820300,1586255822300,2020-04-07 12:37:00.300,2020-04-07 12:37:02.300
0,2,1586255824526,1586255826526,2020-04-07 12:37:04.526,2020-04-07 12:37:06.526
1,2,1586255827870,1586255829870,2020-04-07 12:37:07.870,2020-04-07 12:37:09.870
3,2,1586255831262,1586255833262,2020-04-07 12:37:11.262,2020-04-07 12:37:13.262
3,2,1586255834079,1586255836079,2020-04-07 12:37:14.079,2020-04-07 12:37:16.079
4,2,1586255837505,1586255839505,2020-04-07 12:37:17.505,2020-04-07 12:37:19.505
6,2,1586255840848,1586255842848,2020-04-07 12:37:20.848,2020-04-07 12:37:22.848
0,3,1586255845080,1586255847080,2020-04-07 12:37:25.080,2020-04-07 12:37:27.080
1,3,1586255848218,1586255850218,2020-04-07 12:37:28.218,2020-04-07 12:37:30.218
3,3,1586255851564,1586255853564,2020-04-07 12:37:31.564,2020-04-07 12:37:33.564
3,3,1586255854381,1586255856381,2020-04-07 12:37:34.381,2020-04-07 12:37:36.381
4,3,1586255857857,1586255859857,2020-04-07 12:37:37.857,2020-04-07 12:37:39.857
6,3,1586255861199,1586255863199,2020-04-07 12:37:41.199,2020-04-07 12:37:43.199
0,4,1586255865480,1586255867480,2020-04-07 12:37:45.480,2020-04-07 12:37:47.480
1,4,1586255868618,1586255870618,2020-04-07 12:37:48.618,2020-04-07 12:37:50.618
3,4,1586255871965,1586255873965,2020-04-07 12:37:51.965,2020-04-07 12:37:53.965
3,4,1586255874782,1586255876782,2020-04-07 12:37:54.782,2020-04-07 12:37:56.782
4,4,1586255878208,1586255880208,2020-04-07 12:37:58.208,2020-04-07 12:38:00.208
6,4,1586255881600,1586255883600,2020-04-07 12:38:01.600,2020-04-07 12:38:03.600
0,5,1586255885881,1586255887881,2020-04-07 12:38:05.881,2020-04-07 12:38:07.881
1,5,1586255889018,1586255891018,2020-04-07 12:38:09.018,2020-04-07 12:38:11.018
3,5,1586255892366,1586255894366,2020-04-07 12:38:12.366,2020-04-07 12:38:14.366
3,5,1586255895183,1586255897183,2020-04-07 12:38:15.183,2020-04-07 12:38:17.183
4,5,1586255898609,1586255900609,2020-04-07 12:38:18.609,2020-04-07 12:38:20.609
6,5,1586255902001,1586255904001,2020-04-07 12:38:22.001,2020-04-07 12:38:24.001
